ds,yhat,yhat_lower,yhat_upper
2013-04-01,36.65853066687096,15.601795507188935,58.77678807901056
2013-07-01,46.97189779773771,25.64635556311457,67.71292481324627
2013-10-01,48.228982063754735,23.25349704256687,70.3093299685141
2014-01-01,54.64897251148115,33.43170516539451,76.72902049207607
2014-04-01,63.07584772470775,39.710795016559516,84.97569131566992
2014-07-01,71.0723850291626,50.09817093349803,93.08854385967813
2014-10-01,68.26506202263185,45.50983394522696,88.76476326021681
2015-01-01,78.91698584852908,55.94020507511447,100.62290367114915
2015-04-01,83.0762990660622,61.96088162038409,105.7451237529418
2015-07-01,80.8648235481837,59.63796046561577,100.4663424064317
2015-10-01,82.10386361637245,58.287227302632786,104.83896884624359
2016-01-01,89.8723897036081,69.89306670519149,110.56726419677227
2016-04-01,111.32699930861342,88.87451617569637,132.72408582555465
2016-07-01,112.54911505262969,90.95697190247488,134.1848425076159
2016-10-01,130.40291400969724,107.43962838378378,150.75661955490963
2017-01-01,127.8917376891084,106.50277246706526,149.8422587182983
2017-04-01,139.81249628605661,117.76656556285926,162.05166685103924
2017-07-01,152.37308925117577,129.94127467398192,175.45985990950945
2017-10-01,136.1542891273946,113.53616735199205,158.32524193836107
2018-01-01,136.77769255025117,114.9611983449879,158.76069446117904
2018-04-01,148.45367477195825,128.48945618011606,170.78186284414303
2018-07-01,158.58796534469764,136.34341888809868,182.02645586971806
2018-10-01,153.70590321536534,131.29126523925112,176.30879657416162
2019-01-01,174.68729462477629,152.55491321798587,196.72074749250436
2019-04-01,181.87281111529035,160.11282818865416,202.7884887700894
2019-07-01,174.8994756745045,155.07356738676432,198.29336635050066
2019-10-01,175.5152235902886,153.1684514271022,197.8555536298617
2020-01-01,158.3764180637137,137.4422717747025,181.2096318410496
2020-04-01,152.37549828685835,129.71217556891892,173.57610833900407
2020-07-01,117.8422923634614,96.30436514221864,139.6259657583298
2020-10-01,136.9493867507634,115.6979665358272,160.7459879279883
2021-01-01,134.8266023173672,113.6439128005024,158.64184834744208
2021-04-01,142.3268776801866,120.50797939666566,164.50812498739646
2021-07-01,156.1106547469498,134.3259962752222,177.9787160191178
2021-10-01,140.38288654618836,117.35271506263321,162.61202338142238
2022-01-01,157.44741022223008,136.60325997690333,179.57827973505482
2022-04-01,180.28129270901678,157.8847010693886,202.48823611125064
2022-07-01,201.8040587450046,179.20215476612236,222.85709918060877
2022-10-01,203.82183755938155,181.63214352699876,227.34265562580978
2023-01-01,246.3736521230005,224.57434202732028,267.8250344989423
2023-04-01,270.983520440575,247.67084727066617,293.02544823936387
2023-07-01,274.1865378767371,252.2161632823172,295.46123753264493
2023-10-01,288.4730479907277,265.52550198587875,310.80360937304727
2024-01-01,298.33375116295923,276.513793783355,319.25433052546776
2024-03-31,320.75503422443956,298.2367693255128,343.30614970660207
2024-06-30,376.01542810925446,349.57279434095517,398.7093762571609
2024-09-30,324.0825769496923,296.230458166608,347.5756209021436
2024-12-31,366.9159497888805,330.69352237098235,396.03516896088087
2025-03-31,387.30676619141684,339.96364727324067,430.14222160267025
2025-06-30,423.82719190209605,364.94121378965554,477.07817731268193
2025-09-30,376.73114607032363,312.2901730961347,433.6710675243677
2025-12-31,473.9045562959583,379.9403505082168,559.1496465952218
2026-03-31,492.6888101926574,381.7361474623837,592.5590298613073
2026-06-30,496.1373931144405,372.3081144987269,605.6333365937826
2026-09-30,468.9923259493271,339.67962328767845,586.7453347047755
2026-12-31,509.2727873016518,356.6811606100204,656.7874914456941
