ds,yhat,yhat_lower,yhat_upper
2013-04-01,-60.04265422755736,-999.3999798913038,962.0219963246753
2013-07-01,-11.017935658899267,-1059.4676311257813,959.9383578139892
2013-10-01,-2.7621908716797616,-1098.2229993278772,996.0286458072072
2014-01-01,10.972925037828663,-1082.6347896756158,1075.4557040225095
2014-04-01,31.134632739961024,-1025.160174125218,1072.9008468436386
2014-07-01,67.7645839784206,-941.8447912403294,1143.7509113268293
2014-10-01,77.49274206185879,-937.4258226229204,1134.3531589665467
2015-01-01,73.76536603709032,-912.2398569819254,1099.6454550699154
2015-04-01,62.87430490238917,-941.5186186412382,1069.7935706303192
2015-07-01,139.55938097342727,-897.9725082792291,1156.5315828986231
2015-10-01,203.33669855227402,-813.382188183973,1241.6593084098763
2016-01-01,271.83395654616993,-793.7888543993315,1311.2246292340537
2016-04-01,215.40574005813963,-839.6090149882402,1257.7042674580505
2016-07-01,97.43677413205516,-1001.4930852162913,1201.41138718704
2016-10-01,20.469631982357992,-1019.6397546456539,1059.4168971574754
2017-01-01,256.8943011298595,-782.997927667741,1293.7513195549614
2017-04-01,531.9395985660499,-534.9997173388974,1524.7581991799009
2017-07-01,203.91026465305737,-857.8005708703242,1197.6159761315223
2017-10-01,460.96700332755603,-513.4434822021648,1458.0360429186746
2018-01-01,326.829609363772,-623.5859357358817,1326.4511767560666
2018-04-01,471.29258021203475,-587.6010985347865,1503.7046088981533
2018-07-01,720.4861459948321,-299.3375280364015,1740.914232642745
2018-10-01,654.3994303820042,-405.21298976356167,1717.514067664066
2019-01-01,528.4116170754654,-492.363147201663,1551.2376960507731
2019-04-01,397.0681307268718,-537.6795559008361,1455.2688656808411
2019-07-01,796.7788167641442,-198.9895473299805,1911.6838456108467
2019-10-01,1068.5267669430139,32.59334649824494,2064.618887625752
2020-01-01,1447.1239526121274,373.5752618877298,2450.4187906829156
2020-04-01,1156.6450784533245,172.66477391874804,2332.395202435425
2020-07-01,476.71833217871176,-587.8405663090141,1459.9899318435912
2020-10-01,93.3250439181823,-930.6684713690448,1191.7193526470912
2021-01-01,1106.877849907983,58.78863736226713,2125.8108704644983
2021-04-01,2192.4691167257724,1111.0721403318387,3210.445598650207
2021-07-01,810.0089670778361,-275.3785935445349,1898.8701558194364
2021-10-01,1774.958351569138,776.5390103513217,2810.613887366028
2022-01-01,1843.742183775351,852.2590181709123,2910.531749599008
2022-04-01,3351.7104593067493,2274.7781815742305,4410.96698293372
2022-07-01,6036.712602700749,5014.592544222396,7018.95137786022
2022-10-01,6204.624316151111,5225.587345364101,7194.546955581031
2023-01-01,5516.6341287215455,4492.777646053891,6479.3519621092355
2023-04-01,4472.529753746936,3395.634135028138,5494.904940166096
2023-07-01,9562.586336385095,8586.52080951743,10546.729513146702
2023-10-01,13534.066817348905,12448.652312371341,14538.1646586783
2024-01-01,17645.54870793199,16589.21326270205,18672.838495408992
2024-03-31,10939.347079303472,9885.413783937454,11968.248486638238
2024-06-30,15026.6719089246,13946.915227541875,16051.458843997147
2024-09-30,32678.895492421147,31587.405096997747,33782.35578677912
2024-12-31,22291.146242582832,21219.517474648925,23494.225989603467
2025-03-31,5153.580537808005,4160.610190071249,6172.813110041973
2025-06-30,32541.05290924323,31243.922847691578,33835.357476585625
2025-09-30,42711.60792222538,41071.557220250244,44351.872124352376
2025-12-31,31091.31551959899,29634.91539453191,32648.207263787674
2026-03-31,-44.86162019241866,-1066.176197458108,913.1202001244601
2026-06-30,36213.61047295341,34285.14921658124,38101.739368774
2026-09-30,58932.69682960785,55905.92815957065,61942.07430096827
2026-12-31,56683.19177894469,53388.473124344375,59828.444173658456
