ds,yhat,yhat_lower,yhat_upper
2013-04-01,201.05141978555247,125.10507926757536,274.4534205718968
2013-07-01,173.91549583916066,93.19913030915848,250.24690172951077
2013-10-01,188.107411686905,107.947967381691,261.861605322145
2014-01-01,197.24810425750542,119.0165630854958,268.9451939299764
2014-04-01,192.54146931800142,116.7450215841703,268.97142079329655
2014-07-01,205.98448090017234,135.83765456267008,283.334374682552
2014-10-01,181.19389850301343,104.98527925343413,261.8368596541365
2015-01-01,187.65447254751035,107.64446395602508,258.7267659179521
2015-04-01,182.67956129426335,110.97745113359439,257.81866252470957
2015-07-01,197.04488476727064,116.7660549947666,271.11157259257504
2015-10-01,173.07437421479418,94.9097373413991,251.7543341566733
2016-01-01,220.57803399384053,148.30609131665292,296.118120375491
2016-04-01,191.750406013957,113.64105689241606,269.5623174269024
2016-07-01,205.60582025697173,135.9000865322128,282.0400943405772
2016-10-01,174.53720112805573,96.88158213662363,255.51884640350724
2017-01-01,231.09735096172548,152.48305375203995,303.1312355900622
2017-04-01,225.91384720324155,148.73628939743423,301.3047577080065
2017-07-01,206.5744358607114,128.202426085848,287.13069679853766
2017-10-01,235.44051548961951,158.89903351883478,316.8935148976799
2018-01-01,259.28261883542183,183.4762520528237,335.16230911060916
2018-04-01,264.76137422893595,189.45138217275812,344.38818766095693
2018-07-01,295.6861046079856,218.44087821733302,372.32518003849196
2018-10-01,270.9952287263282,189.27420749083322,349.9299517540685
2019-01-01,286.94615746439416,203.0530588890338,360.00237130242454
2019-04-01,285.2250363632265,208.08555333856847,368.4929686795619
2019-07-01,313.9817609587083,235.91447969709225,387.6309142196644
2019-10-01,281.32397163412753,206.67173914226694,362.9994955287732
2020-01-01,329.73725686008015,253.45481451029434,402.6413346647679
2020-04-01,262.0364728229624,184.98987999056283,336.6472712583089
2020-07-01,254.95558148163295,175.33137950316936,335.23596908017606
2020-10-01,226.72405760196958,155.87179029105423,306.86886612259974
2021-01-01,314.02127988692956,240.45088739179,396.7490821447846
2021-04-01,419.4879756626507,342.22867820318123,497.9231993886091
2021-07-01,459.56590411065946,384.2323498556411,532.838420450531
2021-10-01,546.3445156576162,468.5434758235668,625.2878540257914
2022-01-01,543.1805959900813,471.2062346285252,626.0384672743934
2022-04-01,502.269816734628,433.5545051486315,583.347486737783
2022-07-01,507.5495539902176,431.3051799706267,584.3463613504967
2022-10-01,420.3599135800562,344.6970045759189,496.3635990669669
2023-01-01,408.71155471553465,333.4629567511194,489.68796289675214
2023-04-01,372.8775740830335,296.7136829830457,444.9932644397757
2023-07-01,375.3259866249554,298.6055894491899,454.69093285064423
2023-10-01,306.1470276608418,225.97998198758506,383.18516381887997
2024-01-01,360.62913639824035,281.42582468433955,435.33802817922196
2024-03-31,324.6832239180451,247.34973322081882,401.8315818282941
2024-06-30,257.1216171842362,179.4264501950409,335.44766326019317
2024-09-30,260.3664403541744,167.23959762257678,353.0832751291224
2024-12-31,236.29825517308333,125.36323995375488,338.69056791913926
2025-03-31,205.33929472474122,72.95710147266567,322.792284745359
2025-06-30,193.83469620349283,23.517879258227985,348.2714052677718
2025-09-30,151.54204611962732,-31.84535830411113,324.2050767726233
2025-12-31,126.83908317688434,-96.89874610649981,331.963792545942
2026-03-31,100.90865013949055,-158.13255041046176,337.8409077535079
2026-06-30,85.19100586073095,-238.74738971620172,376.90338291220405
2026-09-30,55.40947773176418,-284.372366536533,366.5655631132487
2026-12-31,41.35863788056177,-427.82641756775786,468.37750938623475
