ds,yhat,yhat_lower,yhat_upper
2013-04-01,259.75575198624796,222.86039278869404,296.32101028733393
2013-07-01,235.10525754927838,199.767523316893,271.2243902920729
2013-10-01,208.7336888657505,176.09506322947684,244.3501589406594
2014-01-01,252.77032861992336,215.8457237194682,289.859421745559
2014-04-01,192.71407475837503,154.9024630940762,227.82783736056362
2014-07-01,99.86178150621797,63.50756224754257,134.69993189401745
2014-10-01,147.43886768915917,111.27966305448322,183.22871618632408
2015-01-01,128.41378598581497,92.77320518647396,165.27763107342517
2015-04-01,262.07426281786667,228.32544861208504,298.58245225078673
2015-07-01,195.19178635796672,160.72526586388764,234.15902108849932
2015-10-01,183.1661240270738,147.00815778396483,219.78881189414977
2016-01-01,95.70457010063888,60.31496508606012,131.20018904306747
2016-04-01,168.73125441411062,132.33534198768567,205.07996501710483
2016-07-01,161.8285212773468,122.26067405719809,195.5291116621352
2016-10-01,195.08656670737398,156.925752237926,228.03580323411293
2017-01-01,164.4871077175264,126.70653478444082,200.06255264564263
2017-04-01,194.3774877378848,159.40650654491782,231.85005129769246
2017-07-01,209.75776993474676,174.1022729439529,246.83961300510822
2017-10-01,212.8692767179269,177.0613756319722,250.94167438120604
2018-01-01,177.03364684538928,139.6374201446757,210.74004135446282
2018-04-01,455.7678840377428,419.92551101654766,491.06565215927196
2018-07-01,202.63396503328386,166.19327581721768,239.96814622002438
2018-10-01,210.43704130846754,174.30539845190975,245.9999771141607
2019-01-01,124.00161468419616,88.61880201988485,162.3732058540426
2019-04-01,163.50150175512223,129.3336966141837,198.32395731628
2019-07-01,117.29667445710128,79.65416993905697,151.64843519946427
2019-10-01,104.55348227443518,68.25834497563585,140.8564785268547
2020-01-01,118.1645266253348,80.67725428572788,154.6471641312254
2020-04-01,164.90591686567777,127.69814645182022,198.7992407092783
2020-07-01,137.78522289252174,103.0213739134815,175.500809794469
2020-10-01,187.48792234959512,153.27451814827563,225.43896175277925
2021-01-01,172.72584654599837,133.87370399712836,208.60647938859947
2021-04-01,309.2731293567918,275.7273220858298,345.0483596912936
2021-07-01,405.0420220035829,370.90976334945134,442.348789501244
2021-10-01,165.14605634664892,129.464689709957,203.5798213884519
2022-01-01,189.27975204290948,151.58442338446002,223.10026659779749
2022-04-01,193.47135777012292,158.57081852922784,229.92412990684352
2022-07-01,101.7773468714355,65.78442613138591,140.11417033311983
2022-10-01,138.48740420976083,101.40105231589646,176.17814284234515
2023-01-01,109.26565548543877,71.39575579647138,146.62909447508594
2023-04-01,104.59010774334847,69.13108805405221,138.7395437061889
2023-07-01,71.12310241645163,32.60538433323786,106.14891063359642
2023-10-01,58.395696651908814,22.30322188832984,95.09713912409096
2024-01-01,30.96184671645211,-6.708059065342361,67.479547662994
2024-03-31,20.024812934970296,-41.74058916963999,81.3978349437979
2024-06-30,3.4187396869543294,-150.77764128954485,153.85599209501166
2024-09-30,-11.563858537376868,-277.1437533864596,250.40136786596563
2024-12-31,-33.516556148330935,-584.9038474346906,498.3990796952617
2025-03-31,-58.63326902979338,-948.2413844620709,789.9776317245836
2025-06-30,-46.392786006936745,-711.0545779586903,614.6942551185565
2025-09-30,-91.25032027522084,-1421.991421534418,1206.518966239482
2025-12-31,-102.40448106200762,-1618.812165577523,1353.5727418906915
2026-03-31,-136.22357171881922,-2191.1894150267062,1910.368161405917
2026-06-30,-130.18043387759803,-2139.0349442892925,1890.1451954632105
2026-09-30,-158.3187967534611,-2671.542525462878,2361.8095279548183
2026-12-31,-138.01825276519446,-2380.868912303822,2153.98353083046
